project,topic,difficulty,estimated_hours,tags,description,url
Cloud ML Pipeline on GCP,cloud computing,advanced,24,"vertex-ai,kubeflow,gcp",Build a cloud ml pipeline on gcp to practice cloud computing at the advanced level.,https://github.com/search?q=Cloud+ML+Pipeline+GCP&type=repositories
Explainable AI with SHAP and LIME,explainable ai,intermediate,12,"shap,lime,sklearn,xgboost",Build an explainable ai tool with shap and lime to practice explainable ai at the intermediate level.,https://github.com/search?q=Explainable+AI+SHAP+LIME&type=repositories
Python OOP Data Structures,python programming,intermediate,10,"oop,algorithms,data-structures",Build python oop data structures to practice python programming at the intermediate level.,https://github.com/search?q=Python+OOP+Data+Structures&type=repositories
GAN Image Generation,deep learning,advanced,28,"gan,pytorch,generative-models",Build a gan image generation model to practice deep learning at the advanced level.,https://github.com/search?q=GAN+Image+Generation+deep+learning&type=repositories
Real-Time Streaming Analytics Kafka,big data,advanced,26,"kafka,pyspark,real-time",Build a real-time streaming analytics tool with kafka to practice big data at the advanced level.,https://github.com/search?q=Real-Time+Streaming+Analytics+Kafka+big+data&type=repositories
Loan Default Predictor,machine learning,beginner,7,"sklearn,logistic-regression,pandas",Build a loan default predictor to practice machine learning at the beginner level.,https://github.com/search?q=Loan+Default+Predictor+machine+learning&type=repositories
Spam Email Classifier,machine learning,beginner,6,"naive-bayes,sklearn,nlp",Build a spam email classifier to practice machine learning at the beginner level.,https://github.com/search?q=Spam+Email+Classifier+machine+learning&type=repositories
Credit Score Model,machine learning,intermediate,12,"xgboost,shap,feature-engineering",Build a credit score model to practice machine learning at the intermediate level.,https://github.com/search?q=Credit+Score+Model+machine+learning&type=repositories
Taxi Demand Forecaster,machine learning,intermediate,14,"random-forest,pandas,geospatial",Build a taxi demand forecaster to practice machine learning at the intermediate level.,https://github.com/search?q=Taxi+Demand+Forecaster+machine+learning&type=repositories
Wildlife Image Classifier,machine learning,intermediate,12,"cnn,transfer-learning,pytorch",Build a wildlife image classifier to practice machine learning at the intermediate level.,https://github.com/search?q=Wildlife+Image+Classifier+machine+learning&type=repositories
Election Poll Predictor,machine learning,advanced,20,"ensemble,sklearn,statistics",Build an election poll predictor to practice machine learning at the advanced level.,https://github.com/search?q=Election+Poll+Predictor+machine+learning&type=repositories
Real Estate Price Classifier,machine learning,beginner,8,"decision-tree,sklearn,pandas",Build a real estate price classifier to practice machine learning at the beginner level.,https://github.com/search?q=Real+Estate+Price+Classifier+machine+learning&type=repositories
Medical Risk Scorer,machine learning,advanced,22,"xgboost,calibration,sklearn",Build a medical risk scorer to practice machine learning at the advanced level.,https://github.com/search?q=Medical+Risk+Scorer+machine+learning&type=repositories
Flight Price Estimator,regression,beginner,8,"sklearn,linear-regression,pandas",Build a flight price estimator to practice regression at the beginner level.,https://github.com/search?q=Flight+Price+Estimator+regression&type=repositories
Life Expectancy Regressor,regression,beginner,7,"sklearn,statsmodels,seaborn",Build a life expectancy regressor to practice regression at the beginner level.,https://github.com/search?q=Life+Expectancy+Regressor+regression&type=repositories
Diamond Price Model,regression,intermediate,10,"ridge,lasso,feature-engineering",Build a diamond price model to practice regression at the intermediate level.,https://github.com/search?q=Diamond+Price+Model+regression&type=repositories
Used Car Pricing Model,regression,intermediate,12,"xgboost,pandas,feature-engineering",Build a used car pricing model to practice regression at the intermediate level.,https://github.com/search?q=Used+Car+Pricing+Model+regression&type=repositories
Salary Predictor,regression,beginner,6,"linear-regression,sklearn,pandas",Build a salary predictor to practice regression at the beginner level.,https://github.com/search?q=Salary+Predictor+regression&type=repositories
Crop Yield Regression,regression,intermediate,14,"random-forest,statsmodels,geospatial",Build a crop yield regression model to practice regression at the intermediate level.,https://github.com/search?q=Crop+Yield+Regression+regression&type=repositories
Insurance Cost Estimator,regression,beginner,8,"sklearn,feature-engineering,pandas",Build an insurance cost estimator to practice regression at the beginner level.,https://github.com/search?q=Insurance+Cost+Estimator+regression&type=repositories
GDP Growth Model,regression,advanced,18,"statsmodels,econometrics,pandas",Build a gdp growth model to practice regression at the advanced level.,https://github.com/search?q=GDP+Growth+Model+regression&type=repositories
Hospital Bill Estimator,regression,intermediate,12,"sklearn,xgboost,feature-engineering",Build a hospital bill estimator to practice regression at the intermediate level.,https://github.com/search?q=Hospital+Bill+Estimator+regression&type=repositories
Energy Demand Forecaster,regression,intermediate,14,"ridge,elasticnet,sklearn",Build an energy demand forecaster to practice regression at the intermediate level.,https://github.com/search?q=Energy+Demand+Forecaster+regression&type=repositories
ECG Arrhythmia Detector,deep learning,intermediate,16,"pytorch,cnn,medical",Build an ecg arrhythmia detector to practice deep learning at the intermediate level.,https://github.com/search?q=ECG+Arrhythmia+Detector+deep+learning&type=repositories
Handwriting Generator,deep learning,advanced,24,"gan,pytorch,generative",Build a handwriting generator to practice deep learning at the advanced level.,https://github.com/search?q=Handwriting+Generator+deep+learning&type=repositories
Speech Emotion Classifier,deep learning,intermediate,16,"lstm,pytorch,audio",Build a speech emotion classifier to practice deep learning at the intermediate level.,https://github.com/search?q=Speech+Emotion+Classifier+deep+learning&type=repositories
Chest X-Ray Analyser,deep learning,advanced,22,"cnn,pytorch,medical-imaging",Build a chest x-ray analyser to practice deep learning at the advanced level.,https://github.com/search?q=Chest+X-Ray+Analyser+deep+learning&type=repositories
Music Genre Classifier,deep learning,intermediate,14,"cnn,librosa,pytorch",Build a music genre classifier to practice deep learning at the intermediate level.,https://github.com/search?q=Music+Genre+Classifier+deep+learning&type=repositories
Face Age Estimator,deep learning,intermediate,16,"cnn,keras,face-analysis",Build a face age estimator to practice deep learning at the intermediate level.,https://github.com/search?q=Face+Age+Estimator+deep+learning&type=repositories
Video Frame Predictor,deep learning,advanced,26,"lstm,pytorch,video",Build a video frame predictor to practice deep learning at the advanced level.,https://github.com/search?q=Video+Frame+Predictor+deep+learning&type=repositories
Depth Estimation Model,deep learning,advanced,24,"pytorch,monocular-depth,cnn",Build a depth estimation model to practice deep learning at the advanced level.,https://github.com/search?q=Depth+Estimation+Model+deep+learning&type=repositories
Pose Estimation System,deep learning,advanced,22,"mediapipe,pytorch,keypoints",Build a pose estimation system to practice deep learning at the advanced level.,https://github.com/search?q=Pose+Estimation+System+deep+learning&type=repositories
Podcast Recommender,recommendation systems,beginner,8,"collaborative-filtering,pandas,sklearn",Build a podcast recommender to practice recommendation systems at the beginner level.,https://github.com/search?q=Podcast+Recommender+recommendation+systems&type=repositories
Book Club Engine,recommendation systems,beginner,8,"content-based,sklearn,pandas",Build a book club engine to practice recommendation systems at the beginner level.,https://github.com/search?q=Book+Club+Recommendation+Engine&type=repositories
Recipe Suggester,recommendation systems,intermediate,12,"collaborative-filtering,embeddings,sklearn",Build a recipe suggester to practice recommendation systems at the intermediate level.,https://github.com/search?q=Recipe+Suggester+recommendation+systems&type=repositories
Job Posting Matcher,recommendation systems,intermediate,14,"tfidf,cosine-similarity,nlp",Build a job posting matcher to practice recommendation systems at the intermediate level.,https://github.com/search?q=Job+Posting+Matcher+recommendation+systems&type=repositories
Game Recommender,recommendation systems,intermediate,12,"matrix-factorization,surprise,collaborative-filtering",Build a game recommender to practice recommendation systems at the intermediate level.,https://github.com/search?q=Game+Recommender+recommendation+systems&type=repositories
Fashion Outfit Suggester,recommendation systems,advanced,20,"embeddings,deep-learning,content-based",Build a fashion outfit suggester to practice recommendation systems at the advanced level.,https://github.com/search?q=Fashion+Outfit+Recommender&type=repositories
Event Recommender,recommendation systems,intermediate,14,"collaborative-filtering,geospatial,sklearn",Build an event recommender to practice recommendation systems at the intermediate level.,https://github.com/search?q=Event+Recommender+recommendation+systems&type=repositories
E-Learning Course Matcher,recommendation systems,intermediate,12,"content-based,tfidf,nlp",Build an e-learning course matcher to practice recommendation systems at the intermediate level.,https://github.com/search?q=E-Learning+Course+Matcher+recommendation&type=repositories
Travel Destination Recommender,recommendation systems,advanced,18,"collaborative-filtering,embeddings,geospatial",Build a travel destination recommender to practice recommendation systems at the advanced level.,https://github.com/search?q=Travel+Destination+Recommender&type=repositories
News Article Recommender,recommendation systems,intermediate,12,"tfidf,cosine-similarity,nlp",Build a news article recommender to practice recommendation systems at the intermediate level.,https://github.com/search?q=News+Article+Recommender&type=repositories
Resume Parser,natural language processing,intermediate,12,"spacy,ner,regex",Build a resume parser to practice natural language processing at the intermediate level.,https://github.com/search?q=Resume+Parser+natural+language+processing&type=repositories
Legal Clause Extractor,natural language processing,advanced,20,"bert,huggingface,ner",Build a legal clause extractor to practice natural language processing at the advanced level.,https://github.com/search?q=Legal+Clause+Extractor+nlp&type=repositories
Review Summariser,natural language processing,intermediate,14,"transformers,huggingface,abstractive-summarisation",Build a review summariser to practice natural language processing at the intermediate level.,https://github.com/search?q=Review+Summariser+nlp&type=repositories
Multilingual Translator,natural language processing,advanced,22,"seq2seq,huggingface,translation",Build a multilingual translator to practice natural language processing at the advanced level.,https://github.com/search?q=Multilingual+Translator+nlp&type=repositories
Chatbot Intent Classifier,natural language processing,intermediate,12,"bert,sklearn,intent-detection",Build a chatbot intent classifier to practice natural language processing at the intermediate level.,https://github.com/search?q=Chatbot+Intent+Classifier+nlp&type=repositories
Contract Analyser,natural language processing,advanced,22,"bert,ner,legal-nlp",Build a contract analyser to practice natural language processing at the advanced level.,https://github.com/search?q=Contract+Analyser+nlp&type=repositories
Political Bias Detector,natural language processing,intermediate,14,"bert,fine-tuning,text-classification",Build a political bias detector to practice natural language processing at the intermediate level.,https://github.com/search?q=Political+Bias+Detector+nlp&type=repositories
Academic Paper Classifier,natural language processing,intermediate,12,"bert,tfidf,text-classification",Build an academic paper classifier to practice natural language processing at the intermediate level.,https://github.com/search?q=Academic+Paper+Classifier+nlp&type=repositories
Medical Notes Tagger,natural language processing,advanced,20,"bert,ner,medical-nlp",Build a medical notes tagger to practice natural language processing at the advanced level.,https://github.com/search?q=Medical+Notes+Tagger+nlp&type=repositories
Job Description Tagger,natural language processing,intermediate,12,"spacy,ner,tfidf",Build a job description tagger to practice natural language processing at the intermediate level.,https://github.com/search?q=Job+Description+Tagger+nlp&type=repositories
Mushroom Toxicity Classifier,classification,beginner,6,"decision-tree,sklearn,pandas",Build a mushroom toxicity classifier to practice classification at the beginner level.,https://github.com/search?q=Mushroom+Toxicity+Classifier+classification&type=repositories
Wildfire Risk Model,classification,intermediate,14,"random-forest,geospatial,sklearn",Build a wildfire risk model to practice classification at the intermediate level.,https://github.com/search?q=Wildfire+Risk+Model+classification&type=repositories
Crop Disease Identifier,classification,intermediate,12,"cnn,transfer-learning,pytorch",Build a crop disease identifier to practice classification at the intermediate level.,https://github.com/search?q=Crop+Disease+Identifier+classification&type=repositories
Student Dropout Predictor,classification,intermediate,12,"xgboost,sklearn,imbalanced-data",Build a student dropout predictor to practice classification at the intermediate level.,https://github.com/search?q=Student+Dropout+Predictor+classification&type=repositories
Employee Attrition Model,classification,intermediate,12,"xgboost,shap,sklearn",Build an employee attrition model to practice classification at the intermediate level.,https://github.com/search?q=Employee+Attrition+Model+classification&type=repositories
Cyber Threat Classifier,classification,advanced,20,"sklearn,isolation-forest,anomaly-detection",Build a cyber threat classifier to practice classification at the advanced level.,https://github.com/search?q=Cyber+Threat+Classifier+classification&type=repositories
Clinical Trial Outcome Predictor,classification,advanced,22,"xgboost,shap,survival-analysis",Build a clinical trial outcome predictor to practice classification at the advanced level.,https://github.com/search?q=Clinical+Trial+Outcome+Predictor&type=repositories
Review Helpfulness Scorer,classification,beginner,8,"logistic-regression,tfidf,sklearn",Build a review helpfulness scorer to practice classification at the beginner level.,https://github.com/search?q=Review+Helpfulness+Scorer+classification&type=repositories
Supply Chain Disruption Predictor,classification,advanced,20,"xgboost,time-series,sklearn",Build a supply chain disruption predictor to practice classification at the advanced level.,https://github.com/search?q=Supply+Chain+Disruption+Predictor+classification&type=repositories
Global Temperature Dashboard,data visualization,beginner,6,"plotly,pandas,matplotlib",Build a global temperature dashboard to practice data visualization at the beginner level.,https://github.com/search?q=Global+Temperature+Dashboard+data+visualization&type=repositories
Olympic Medals Explorer,data visualization,beginner,5,"plotly,pandas,seaborn",Build an olympic medals explorer to practice data visualization at the beginner level.,https://github.com/search?q=Olympic+Medals+Explorer+data+visualization&type=repositories
Air Quality Monitor,data visualization,beginner,6,"plotly,dash,pandas",Build an air quality monitor to practice data visualization at the beginner level.,https://github.com/search?q=Air+Quality+Monitor+data+visualization&type=repositories
Budget Tracker Dashboard,data visualization,beginner,6,"dash,plotly,pandas",Build a budget tracker dashboard to practice data visualization at the beginner level.,https://github.com/search?q=Budget+Tracker+Dashboard+data+visualization&type=repositories
Population Growth Atlas,data visualization,intermediate,10,"folium,plotly,geopandas",Build a population growth atlas to practice data visualization at the intermediate level.,https://github.com/search?q=Population+Growth+Atlas+data+visualization&type=repositories
Election Results Map,data visualization,intermediate,10,"folium,dash,geopandas",Build an election results map to practice data visualization at the intermediate level.,https://github.com/search?q=Election+Results+Map+data+visualization&type=repositories
Sports Analytics Dashboard,data visualization,intermediate,12,"streamlit,plotly,pandas",Build a sports analytics dashboard to practice data visualization at the intermediate level.,https://github.com/search?q=Sports+Analytics+Dashboard+data+visualization&type=repositories
Carbon Footprint Tracker,data visualization,beginner,7,"plotly,pandas,dash",Build a carbon footprint tracker to practice data visualization at the beginner level.,https://github.com/search?q=Carbon+Footprint+Tracker+data+visualization&type=repositories
Startup Funding Map,data visualization,intermediate,10,"plotly,folium,pandas",Build a startup funding map to practice data visualization at the intermediate level.,https://github.com/search?q=Startup+Funding+Map+data+visualization&type=repositories
City Traffic Heatmap,data visualization,intermediate,10,"folium,pandas,seaborn",Build a city traffic heatmap to practice data visualization at the intermediate level.,https://github.com/search?q=City+Traffic+Heatmap+data+visualization&type=repositories
Electricity Load Forecaster,time series analysis,intermediate,14,"prophet,statsmodels,plotly",Build an electricity load forecaster to practice time series analysis at the intermediate level.,https://github.com/search?q=Electricity+Load+Forecaster+time+series&type=repositories
Currency Exchange Predictor,time series analysis,intermediate,16,"arima,lstm,keras",Build a currency exchange predictor to practice time series analysis at the intermediate level.,https://github.com/search?q=Currency+Exchange+Predictor+time+series&type=repositories
Retail Inventory Optimizer,time series analysis,advanced,20,"prophet,xgboost,statsmodels",Build a retail inventory optimizer to practice time series analysis at the advanced level.,https://github.com/search?q=Retail+Inventory+Optimizer+time+series&type=repositories
Traffic Volume Predictor,time series analysis,intermediate,14,"arima,prophet,sklearn",Build a traffic volume predictor to practice time series analysis at the intermediate level.,https://github.com/search?q=Traffic+Volume+Predictor+time+series&type=repositories
Web Traffic Forecaster,time series analysis,beginner,8,"prophet,pandas,matplotlib",Build a web traffic forecaster to practice time series analysis at the beginner level.,https://github.com/search?q=Web+Traffic+Forecaster+time+series&type=repositories
IoT Sensor Anomaly Detector,time series analysis,advanced,22,"isolation-forest,lstm,prophet",Build an iot sensor anomaly detector to practice time series analysis at the advanced level.,https://github.com/search?q=IoT+Sensor+Anomaly+Detector+time+series&type=repositories
Commodity Price Forecaster,time series analysis,intermediate,16,"arima,xgboost,statsmodels",Build a commodity price forecaster to practice time series analysis at the intermediate level.,https://github.com/search?q=Commodity+Price+Forecaster+time+series&type=repositories
Hospital Admission Forecaster,time series analysis,advanced,20,"prophet,lstm,statsmodels",Build a hospital admission forecaster to practice time series analysis at the advanced level.,https://github.com/search?q=Hospital+Admission+Forecaster+time+series&type=repositories
Social Media Trend Predictor,time series analysis,intermediate,14,"prophet,sklearn,pandas",Build a social media trend predictor to practice time series analysis at the intermediate level.,https://github.com/search?q=Social+Media+Trend+Predictor+time+series&type=repositories
Patient Cohort Analyser,clustering,intermediate,12,"kmeans,pca,sklearn",Build a patient cohort analyser to practice clustering at the intermediate level.,https://github.com/search?q=Patient+Cohort+Analyser+clustering&type=repositories
Social Network Grouper,clustering,intermediate,14,"networkx,community-detection,sklearn",Build a social network grouper to practice clustering at the intermediate level.,https://github.com/search?q=Social+Network+Grouper+clustering&type=repositories
Document Topic Grouper,clustering,intermediate,12,"lda,tfidf,kmeans",Build a document topic grouper to practice clustering at the intermediate level.,https://github.com/search?q=Document+Topic+Grouper+clustering&type=repositories
E-Commerce User Segmenter,clustering,beginner,8,"kmeans,pca,pandas",Build an e-commerce user segmenter to practice clustering at the beginner level.,https://github.com/search?q=E-Commerce+User+Segmenter+clustering&type=repositories
Genomic Data Clusterer,clustering,advanced,22,"hdbscan,pca,umap",Build a genomic data clusterer to practice clustering at the advanced level.,https://github.com/search?q=Genomic+Data+Clusterer+clustering&type=repositories
Image Colour Quantiser,clustering,beginner,6,"kmeans,opencv,matplotlib",Build an image colour quantiser to practice clustering at the beginner level.,https://github.com/search?q=Image+Colour+Quantiser+clustering&type=repositories
Clickstream Session Clusterer,clustering,intermediate,14,"kmeans,pca,pandas",Build a clickstream session clusterer to practice clustering at the intermediate level.,https://github.com/search?q=Clickstream+Session+Clusterer+clustering&type=repositories
Crime Hotspot Identifier,clustering,intermediate,12,"dbscan,folium,geopandas",Build a crime hotspot identifier to practice clustering at the intermediate level.,https://github.com/search?q=Crime+Hotspot+Identifier+clustering&type=repositories
Employee Performance Grouper,clustering,intermediate,10,"kmeans,pca,sklearn",Build an employee performance grouper to practice clustering at the intermediate level.,https://github.com/search?q=Employee+Performance+Grouper+clustering&type=repositories
Supply Chain Route Grouper,clustering,advanced,18,"dbscan,networkx,geospatial",Build a supply chain route grouper to practice clustering at the advanced level.,https://github.com/search?q=Supply+Chain+Route+Grouper+clustering&type=repositories
Facial Emotion Detector,computer vision,intermediate,14,"opencv,fer,pytorch",Build a facial emotion detector to practice computer vision at the intermediate level.,https://github.com/search?q=Facial+Emotion+Detector+computer+vision&type=repositories
Parking Occupancy Monitor,computer vision,intermediate,14,"yolo,opencv,pytorch",Build a parking occupancy monitor to practice computer vision at the intermediate level.,https://github.com/search?q=Parking+Occupancy+Monitor+computer+vision&type=repositories
Plant Disease Spotter,computer vision,beginner,10,"cnn,keras,transfer-learning",Build a plant disease spotter to practice computer vision at the beginner level.,https://github.com/search?q=Plant+Disease+Spotter+computer+vision&type=repositories
Surgical Instrument Tracker,computer vision,advanced,24,"yolo,pytorch,object-detection",Build a surgical instrument tracker to practice computer vision at the advanced level.,https://github.com/search?q=Surgical+Instrument+Tracker+computer+vision&type=repositories
Crack Detection System,computer vision,intermediate,12,"cnn,opencv,pytorch",Build a crack detection system to practice computer vision at the intermediate level.,https://github.com/search?q=Crack+Detection+System+computer+vision&type=repositories
Retail Shelf Analyser,computer vision,advanced,22,"yolo,opencv,pytorch",Build a retail shelf analyser to practice computer vision at the advanced level.,https://github.com/search?q=Retail+Shelf+Analyser+computer+vision&type=repositories
Lane Detector for Autonomous Vehicles,computer vision,advanced,22,"opencv,pytorch,segmentation",Build a lane detector for autonomous vehicles to practice computer vision at the advanced level.,https://github.com/search?q=Lane+Detector+Autonomous+Vehicles+computer+vision&type=repositories
Handwritten Equation Solver,computer vision,intermediate,16,"cnn,opencv,pytorch",Build a handwritten equation solver to practice computer vision at the intermediate level.,https://github.com/search?q=Handwritten+Equation+Solver+computer+vision&type=repositories
Satellite Image Classifier,computer vision,advanced,22,"resnet,transfer-learning,pytorch",Build a satellite image classifier to practice computer vision at the advanced level.,https://github.com/search?q=Satellite+Image+Classifier+computer+vision&type=repositories
Fashion Style Tagger,computer vision,intermediate,14,"resnet,transfer-learning,pytorch",Build a fashion style tagger to practice computer vision at the intermediate level.,https://github.com/search?q=Fashion+Style+Tagger+computer+vision&type=repositories
Medical Q&A System,transformers,intermediate,16,"bert,huggingface,qa",Build a medical q&a system to practice transformers at the intermediate level.,https://github.com/search?q=Medical+QA+System+transformers&type=repositories
Legal Document Summariser,transformers,advanced,22,"t5,huggingface,summarisation",Build a legal document summariser to practice transformers at the advanced level.,https://github.com/search?q=Legal+Document+Summariser+transformers&type=repositories
Code Explanation Bot,transformers,intermediate,16,"codegen,huggingface,fine-tuning",Build a code explanation bot to practice transformers at the intermediate level.,https://github.com/search?q=Code+Explanation+Bot+transformers&type=repositories
Patent Search Engine,transformers,advanced,22,"bert,faiss,semantic-search",Build a patent search engine to practice transformers at the advanced level.,https://github.com/search?q=Patent+Search+Engine+transformers&type=repositories
Customer Support Classifier,transformers,intermediate,14,"bert,fine-tuning,text-classification",Build a customer support classifier to practice transformers at the intermediate level.,https://github.com/search?q=Customer+Support+Classifier+transformers&type=repositories
Multilingual NLI Model,transformers,advanced,24,"xlm-roberta,huggingface,nli",Build a multilingual nli model to practice transformers at the advanced level.,https://github.com/search?q=Multilingual+NLI+Model+transformers&type=repositories
