"dataset","task","topic","source","url","why_it_fits"
"OpenWebText","language modeling","llm","HuggingFace","https://huggingface.co/datasets/openwebtext","Open replication of WebText for GPT-2; good for studying pretraining data quality."
"Alpaca","instruction tuning","prompt engineering","Stanford CRFM","https://huggingface.co/datasets/tatsu-lab/alpaca","52k instruction-response pairs; teaches instruction fine-tuning and prompt formatting."
"Dolly","instruction tuning","prompt engineering","Databricks","https://huggingface.co/datasets/databricks/databricks-dolly-15k","15k human-written instructions; used for studying prompt diversity."
"LAION-400M","image-text pairs","generative ai","LAION","https://laion.ai/blog/laion-400-open-dataset/","400M image-text pairs used to train CLIP and Stable Diffusion."
"CelebA","image generation","generative ai","MMLAB CUHK","https://mmlab.ie.cuhk.edu.hk/projects/CelebA.html","200k celebrity face images; used for GAN training and conditional generation."
"CartPole","reinforcement learning","reinforcement learning","OpenAI Gym","https://gymnasium.farama.org/environments/classic_control/cart_pole/","Classic RL control task; teaches policy gradients and Q-learning basics."
"LunarLander","reinforcement learning","reinforcement learning","OpenAI Gym","https://gymnasium.farama.org/environments/box2d/lunar_lander/","Continuous control RL environment; good for deep Q-networks and actor-critic."
"Wine Quality","classification","naive bayes","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/wine+quality","Physicochemical wine features; compact dataset for probabilistic classifiers."
"Mushroom","classification","naive bayes","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/mushroom","All categorical features for edible/poisonous; ideal for categorical Naive Bayes."
"Spam SMS","classification","naive bayes","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/sms+spam+collection","Labeled SMS messages; classic text spam detection with multinomial Naive Bayes."
"Heart Disease","classification","svm","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/heart+disease","13 medical features predicting heart disease; well-suited for SVM margin studies."
"Breast Cancer Wisconsin","classification","svm","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/breast+cancer+wisconsin+(diagnostic)","30 cell nucleus features for binary classification; great for SVM kernel comparison."
"Otto Group Products","classification","ensemble methods","Kaggle","https://www.kaggle.com/c/otto-group-product-classification-challenge","93-feature 9-class classification; great for gradient boosting and stacking."
"Santander Customer Satisfaction","classification","ensemble methods","Kaggle","https://www.kaggle.com/c/santander-customer-satisfaction","High-dimensional sparse binary classification; teaches XGBoost and feature importance."
"LFW Faces","dimensionality reduction","dimensionality reduction","Scikit-learn","https://scikit-learn.org/stable/datasets/real_world.html","Face images for eigenfaces; directly demonstrates PCA variance and reconstruction."
"MNIST PCA","dimensionality reduction","dimensionality reduction","Yann LeCun","http://yann.lecun.com/exdb/mnist/","MNIST projected via PCA/TSNE; classic for explaining explained variance in 2D."
"UCI HAR","classification","feature engineering","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/human+activity+recognition+using+smartphones","561 time-domain features from accelerometer; teaches manual feature design."
"NYC Taxi Trips","regression","feature engineering","NYC Open Data","https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page","Spatio-temporal data; teaches datetime decomposition and distance features."
"Wine Dataset","classification","model evaluation","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/wine","13-feature 3-class dataset; compact for cross-validation and ROC-AUC studies."
"Pima Indians Diabetes","classification","model evaluation","Kaggle","https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database","Small medical binary dataset; teaches precision-recall tradeoff and threshold selection."
"Bank Marketing","classification","model evaluation","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/bank+marketing","Call center data with class imbalance; good for F1, ROC-AUC and calibration."
"Forest Cover Type","classification","decision trees","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/covertype","54-feature multiclass land cover; shows tree depth effects and pruning impact."
"Car Evaluation","classification","decision trees","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/car+evaluation","All categorical features; perfect for entropy and information gain demonstration."
"MS MARCO","retrieval","rag","Microsoft","https://microsoft.github.io/msmarco/","Large QA + passage retrieval corpus; standard benchmark for RAG pipelines."
"Natural Questions","question answering","rag","Google","https://ai.google.com/research/NaturalQuestions","Real Google search queries with Wikipedia answers; used for open-domain RAG evaluation."
"Anscombe Quartet","visualization","statistics","Classic","https://en.wikipedia.org/wiki/Anscombe%27s_quartet","Four datasets with identical statistics but different distributions; shows why visualization matters."
"Old Faithful","statistics","statistics","R datasets","https://www.rdocumentation.org/packages/datasets/versions/3.6.2/topics/faithful","Geyser eruption data; teaches histogram, distribution fitting, and hypothesis testing."
"Pokemon Stats","classification","statistics","Kaggle","https://www.kaggle.com/datasets/abcsds/pokemon","Fun tabular dataset; teaches descriptive statistics, correlation, and basic inference."
"Bike Sharing","regression","statistics","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/bike+sharing+dataset","Hourly/daily bike rental counts; teaches seasonal decomposition and confidence intervals."
"E-Commerce Shipping","classification","feature engineering","Kaggle","https://www.kaggle.com/datasets/prachi13/customer-churn","Shipping delay prediction; teaches encoding categorical variables and interaction features."
"Otto Search","search benchmark","search algorithms","Kaggle","https://www.kaggle.com/c/otto-group-product-classification-challenge","Product search classification; adapts to studying ranking and retrieval heuristics."
"Hyperparameter Benchmark","classification","hyperparameter tuning","OpenML","https://www.openml.org/search?type=benchmark-suite&sort=runs&id=99","Suite of classification tasks; standard for comparing HPO methods like grid vs Bayesian."
"AutoML Benchmark","classification","automl","OpenML","https://www.openml.org/search?type=benchmark-suite&sort=runs&id=218","Diverse classification tasks; used to evaluate AutoML systems like Auto-Sklearn and TPOT."
